manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,Unnamed: 29,Unnamed: 30,Unnamed: 31
www.fritzing.org,,APA3010SF4C,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Yihui Xiong,,Arch Pro V1.0,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
Yihui Xiong,,Arch V1.1,Tool,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,
althaus,,Arduino Board Ethernet,Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardEthernet,,,,imported_from_fritzing,,,
fabian Althaus,,Arduino BT,Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardBluetooth,,,,imported_from_fritzing,,,
SparkFun,,Arduino Can-Bus Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10039,,,,imported_from_fritzing,,,
SparkFun,,Arduino Cap Sense Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10508,,,,imported_from_fritzing,,,
SparkFun,,Arduino Cellular Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9607,,,,imported_from_fritzing,,,
SparkFun,,Arduino Color LCD Shield,Controller,controller,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9363,,,,imported_from_fritzing,,,
althaus,,Arduino Due (Rev2b),Controller,controller,,,,,,,,,,,,,,,,,,,,http://arduino.cc/en/Main/ArduinoBoardDue,,,,imported_from_fritzing,,,
