manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
www.fritzing.org,nan,IMU3000,sensor,imu,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,IMU Analog Combo Board - 5 Degrees of Freedom,sensor,imu,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9268,,,,imported_from_fritzing,,,,,
Andre Knoerig,nan,IMU Digital Combo Board 6DOF,sensor,imu,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10121,,,,imported_from_fritzing,,,,,
Texas Instruments,INA226,INA226 Current/Power Monitor,sensor,current,current|voltage|power,,circuit_power,2.7,5.5,,,,I2C,I2C,,,,,,,,,,,,18.779,USD,,Shunt-based current/power monitor,,,,,
Generic,nan,Infrared Flame Sensor Module,sensor,flame,flame_presence,,room_air,3.3,5.0,,,,,ADC|DIGITAL,,,,,,,,,,,,,,,Analog + digital comparator; typical Arduino module,,,,,
Lionel Michel,nan,Infrared Proximity Sensor,sensor,generic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
fabian althaus,nan,Intel Edison Arduinobreakout,controller,controller,,,,,,,,,,,,,,,,,,,,,http://www.intel.com/edison,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ITG-3200,sensor,gyro,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Jean-Claude Wippler,nan,JeeNode wireless microcontroller,controller,controller,,,,,,,,,,,,,,,,,,,,,http://jeelabs.net/projects/hardware/wiki/JeeNode,,,,imported_from_fritzing,,,,,
Carlos Hansen Mendoza,nan,KA78R05 Low Dropout Voltage Regulator,power,regulator,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,KENT_LCD_CONN,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,L298,actuator,motor_driver,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,L298_BRIDGE_DRIVER,actuator,motor_driver,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,LASSEN_IQ_GPS,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
